txn_id,fecha,account_clabe,direction,amount,counterparty_name,counterparty_clabe,reference,invoice_uuid
TX00001,2025-01-28,012580001234567890,out,433992.65,NOMINA,,NOMINA QUINCENAL,
TX00002,2025-01-29,012580001234567890,out,25877.05,Distribuidora Industrial S de RL de CV,021273872090747664,PAGO FACT 4735,EE6081AC-2DD0-622E-266B-F2EAEB93F78C
TX00003,2025-01-29,012580001234567890,out,111580.4,Soldadura Industrial SA de CV,072101837512445132,PAGO FACT 33136,4721194B-C8A4-AE21-D9F8-50E913AD3EAD
TX00004,2025-01-29,012580001234567890,in,213716.39,Construcciones Quintanilla S de RL de CV,014739715501344653,COBRO F1485,93683DD6-5050-127E-4E38-5D03A0D80651
TX00005,2025-02-03,012580001234567890,out,11217.2,Pinturas San Nicolás S de RL de CV,021890726303659684,PAGO FACT 41505,B0117B0A-3496-51D6-A790-55B06001F54D
TX00006,2025-02-03,012580001234567890,out,83529.05,Herramientas Monterrey SA de CV,021578686926242393,PAGO FACT 6533,4185300D-971D-F5FD-B389-50CE9FBC879E
TX00007,2025-02-03,012580001234567890,in,369911.51,Envases Rodríguez SAPI de CV,002744493163720449,COBRO F1412,32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1
TX00008,2025-02-05,012580001234567890,in,405451.0,Envases López SAPI de CV,072135125058454048,COBRO F1542,4B7A123E-338A-EA2D-3E1C-FA1495D16384
TX00009,2025-02-06,012580001234567890,out,92950.68,Grupo del Norte SAPI de CV,012790534133958170,PAGO FACT 14372,0C8D51D2-1673-AEFB-EB9E-54E054C3B22E
TX00010,2025-02-10,012580001234567890,in,242204.96,Autopartes Martínez SAPI de CV,072987012365319337,COBRO F1498,B169FDED-F972-3977-52C0-3F9BDF16EB70
TX00011,2025-02-11,012580001234567890,out,6449.48,Pinturas San Nicolás S de RL de CV,021890726303659684,PAGO FACT 67708,82B34384-9979-CF26-C8B1-90E1089A9F4F
TX00012,2025-02-11,012580001234567890,in,402339.62,Autopartes Quintanilla S de RL de CV,012604717059498419,COBRO F1521,67037089-C78C-D2C3-6374-ED1429B67B14
TX00013,2025-02-12,012580001234567890,in,364600.95,Construcciones Quintanilla S de RL de CV,014739715501344653,COBRO F1484,A151ED02-2F09-8F4D-A43F-683AA43101E4
TX00014,2025-02-13,012580001234567890,out,20555.08,Grupo Monterrey S de RL de CV,014856844373989238,PAGO FACT 51753,98BE5FF0-929D-AF9F-0149-A2AF0AB1A504
TX00015,2025-02-13,012580001234567890,out,118029.88,Servicios Guadalupe S de RL de CV,072267963609841748,PAGO FACT 6721,2737F345-3886-29FF-B2A0-F778809D6444
TX00016,2025-02-14,012580001234567890,out,163534.25,Ferretera de México SAPI de CV,058215509941847528,PAGO FACT 23326,EBD14B0C-C7F4-F4F9-8222-1AD3ECA391D4
TX00017,2025-02-14,012580001234567890,out,117684.78,Industrias Nuevo León SA de CV,058722831908112160,PAGO FACT 29816,1EDBBE71-DE2A-2DDF-EE24-9B726AA12ABD
TX00018,2025-02-17,012580001234567890,out,16463.18,Pinturas San Nicolás S de RL de CV,021890726303659684,PAGO FACT 35947,D463C183-A231-7211-8578-B1C6F7EBC69A
TX00019,2025-02-17,012580001234567890,out,218442.38,Hidráulica Apodaca SAPI de CV,002290297721441525,PAGO FACT 2553,892FCA69-8E20-17E1-50C4-CB4BAD9E5C1E
TX00020,2025-02-17,012580001234567890,in,103590.09,Grupo Montemayor S de RL de CV,014133686941179027,COBRO F1405,7C2257A0-C75F-F368-5F7D-DBB1480AFE9F
TX00021,2025-02-17,012580001234567890,in,452966.97,Construcciones Hernández SA de CV,014646706457108641,COBRO F1419,EBA46463-36C9-B657-EC9A-799E19437791
TX00022,2025-02-17,012580001234567890,out,290000.0,Metálica Santa Catarina SA de CV,127790287445645713,PAGO FACT 43386,FA2C9E79-2758-4F1A-239E-5593EC11A44D
TX00023,2025-02-18,012580001234567890,out,13163.45,Pinturas San Nicolás S de RL de CV,021890726303659684,PAGO FACT 78411,F6A9E3E3-B62B-CCB1-4956-0C3685609E8A
TX00024,2025-02-19,012580001234567890,out,77873.58,Hidráulica Apodaca SAPI de CV,002290297721441525,PAGO FACT 3916,F5C9F459-9DB1-BD5E-91A4-D796B9720EEC
TX00025,2025-02-21,012580001234567890,out,99403.18,Industrias Nuevo León SA de CV,058722831908112160,PAGO FACT 95149,19E9E3A4-18DC-CEB6-84FC-FCB0F5E90352
TX00026,2025-02-24,012580001234567890,out,73265.48,Grupo Guadalupe SA de CV,072035061403237378,PAGO FACT 50593,DD1CA267-530D-DDA6-C8D0-F9E5991965EA
TX00027,2025-02-24,012580001234567890,out,18736.78,Electrónica Regiomontana SAPI de CV,002538819687479285,PAGO FACT 18669,BAEB286B-F0D0-270F-D4D1-3D551DB6B844
TX00028,2025-02-24,012580001234567890,out,130293.98,Soldadura Industrial SA de CV,072101837512445132,PAGO FACT 57847,2D8CC973-43C1-136C-D013-B7A3F4A29332
TX00029,2025-02-24,012580001234567890,in,322533.82,Grupo López SAPI de CV,127967512170538560,COBRO F1446,4FE5C13B-A5E8-C198-3C10-316D3F63A065
TX00030,2025-02-24,012580001234567890,out,174000.0,Metálica Santa Catarina SA de CV,127790287445645713,PAGO FACT 96805,4E39F65A-20DB-4294-DFAE-180393D797E7
TX00031,2025-02-27,012580001234567890,out,98388.65,Industrias Nuevo León SA de CV,058722831908112160,PAGO FACT 75627,B3EDD6ED-B089-4DE4-E626-7164D3616B3A
