record_id,entity_name,entity_clabe,fecha,direction,amount,counterparty_name,counterparty_clabe,reference
CP00001,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-03-23,in,55680.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 60642
CP00002,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-03-27,out,22272.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00003,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-03-27,out,22272.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00004,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-03-28,in,55680.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 17988
CP00005,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-04-08,in,74240.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 61807
CP00006,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-04-12,in,74240.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 51329
CP00007,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-04-14,out,29696.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00008,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-04-14,out,29696.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00009,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-05-06,in,74240.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 12078
CP00010,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-05-12,out,29696.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00011,Promotora Comercial Chapa SA de CV,012060226260847497,2025-07-07,in,348000.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 87263
CP00012,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-07-08,in,111360.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 88579
CP00013,Promotora Comercial Chapa SA de CV,012060226260847497,2025-07-09,out,341040.0,Comercializadora Hernández SAPI de CV,058600945757007124,PAGO
CP00014,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-07-16,out,44544.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00015,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-08-29,in,55680.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 6970
CP00016,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-09-03,out,22272.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00017,Promotora Comercial Chapa SA de CV,012060226260847497,2025-10-08,in,348000.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 38977
CP00018,Promotora Comercial Chapa SA de CV,012060226260847497,2025-10-09,out,341040.0,Comercializadora Hernández SAPI de CV,058600945757007124,PAGO
CP00019,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-10-14,in,74240.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 12761
CP00020,Gestoría y Enlace San Nicolás S de RL de CV,127967249590173425,2025-10-20,out,29696.0,Diego Zambrano,021593586857022021,TRANSFERENCIA
CP00021,Promotora Comercial Chapa SA de CV,012060226260847497,2025-11-10,in,522000.0,Talleres Industriales del Norte SA de CV,012580001234567890,PAGO FACT 99779
CP00022,Promotora Comercial Chapa SA de CV,012060226260847497,2025-11-12,out,511560.0,Comercializadora Hernández SAPI de CV,058600945757007124,PAGO
