customer_id,name,rfc,street,city,clabe
C00001,Grupo López SAPI de CV,ZZR890918KKF,Av. Lázaro Cárdenas 1514,"General Escobedo, NL",127967512170538560
C00002,Autopartes Hernández S de RL de CV,ELG960124MKY,Av. Miguel Alemán 3934,"Apodaca, NL",012188850611322279
C00003,Construcciones Elizondo SA de CV,MNM040801DOQ,Blvd. Díaz Ordaz 2782,"Santa Catarina, NL",012230486458487734
C00004,Autopartes Quintanilla S de RL de CV,YSD241219IB6,Av. Garza Sada 4024,"San Nicolás de los Garza, NL",012604717059498419
C00005,Comercializadora Hernández SAPI de CV,PZS930606W5L,Av. Sendero 1504,"Apodaca, NL",058600945757007124
C00006,Grupo Chapa S de RL de CV,TVB051103QYM,Av. Garza Sada 3361,"General Escobedo, NL",058761949011137398
C00007,Autopartes Villarreal SAPI de CV,HYZ031207YRR,Av. Garza Sada 4066,"San Nicolás de los Garza, NL",072972163989822734
C00008,Envases García S de RL de CV,QSB920810FY7,Av. Garza Sada 4871,"General Escobedo, NL",127766932944937978
C00009,Construcciones Hernández SA de CV,IHL120323PQ0,Blvd. Díaz Ordaz 4568,"Apodaca, NL",014646706457108641
C00010,Construcciones Quintanilla S de RL de CV,BNT021022VED,Av. Sendero 4702,"San Nicolás de los Garza, NL",014739715501344653
C00011,Grupo Montemayor S de RL de CV,TJB001222W10,Av. Constitución 3951,"Monterrey, NL",014133686941179027
C00012,Envases Villarreal SA de CV,QPC951019FXZ,Av. Universidad 2152,"San Nicolás de los Garza, NL",072390809722560856
C00013,Envases López SAPI de CV,LSC21020236H,Av. Lincoln 2127,"General Escobedo, NL",072135125058454048
C00014,Grupo Martínez SAPI de CV,DLJ130219ENL,Av. Lincoln 3100,"Apodaca, NL",014217435224929418
C00015,Envases Rodríguez SAPI de CV,MAQ03062825L,Av. Ruiz Cortines 2685,"Apodaca, NL",002744493163720449
C00016,Manufacturas López SAPI de CV,ONS8703145G7,Calle Zaragoza 2438,"General Escobedo, NL",058349998051929549
C00017,Autopartes Martínez SAPI de CV,YCA050705OHS,Av. Constitución 1310,"San Pedro Garza García, NL",072987012365319337
C00018,Grupo Salinas S de RL de CV,BBL150807MF5,Av. Garza Sada 4056,"San Nicolás de los Garza, NL",014789135342202362
C00019,Grupo Salinas SAPI de CV,IVN2105163NY,Av. Sendero 2709,"San Nicolás de los Garza, NL",021577604977575166
