txn_id,date,from_clabe,to_clabe,amount,reference,channel
TX00001,2025-01-28,012580001234567890,012999999999999999,433992.65,NOMINA QUINCENAL,SPEI
TX00002,2025-01-29,012580001234567890,021273872090747664,25877.05,Pago factura EE6081AC-2DD0-622E-266B-F2EAEB93F78C,SPEI
TX00003,2025-01-29,012580001234567890,072101837512445132,111580.4,Pago factura 4721194B-C8A4-AE21-D9F8-50E913AD3EAD,SPEI
TX00004,2025-01-29,014739715501344653,012580001234567890,213716.39,Cobro factura 93683DD6-5050-127E-4E38-5D03A0D80651,SPEI
TX00005,2025-02-03,012580001234567890,021890726303659684,11217.2,Pago factura B0117B0A-3496-51D6-A790-55B06001F54D,SPEI
TX00006,2025-02-03,012580001234567890,021578686926242393,83529.05,Pago factura 4185300D-971D-F5FD-B389-50CE9FBC879E,SPEI
TX00007,2025-02-03,002744493163720449,012580001234567890,369911.51,Cobro factura 32440F07-0AE2-63E0-6E66-3C0AC1E0A4A1,SPEI
TX00008,2025-02-05,072135125058454048,012580001234567890,405451.0,Cobro factura 4B7A123E-338A-EA2D-3E1C-FA1495D16384,SPEI
TX00009,2025-02-06,012580001234567890,012790534133958170,92950.68,Pago factura 0C8D51D2-1673-AEFB-EB9E-54E054C3B22E,SPEI
TX00010,2025-02-10,072987012365319337,012580001234567890,242204.96,Cobro factura B169FDED-F972-3977-52C0-3F9BDF16EB70,SPEI
TX00011,2025-02-11,012580001234567890,021890726303659684,6449.48,Pago factura 82B34384-9979-CF26-C8B1-90E1089A9F4F,SPEI
TX00012,2025-02-11,012604717059498419,012580001234567890,402339.62,Cobro factura 67037089-C78C-D2C3-6374-ED1429B67B14,SPEI
TX00013,2025-02-12,014739715501344653,012580001234567890,364600.95,Cobro factura A151ED02-2F09-8F4D-A43F-683AA43101E4,SPEI
TX00014,2025-02-13,012580001234567890,014856844373989238,20555.08,Pago factura 98BE5FF0-929D-AF9F-0149-A2AF0AB1A504,SPEI
TX00015,2025-02-13,012580001234567890,072267963609841748,118029.88,Pago factura 2737F345-3886-29FF-B2A0-F778809D6444,SPEI
TX00016,2025-02-14,012580001234567890,058215509941847528,163534.25,Pago factura EBD14B0C-C7F4-F4F9-8222-1AD3ECA391D4,SPEI
TX00017,2025-02-14,012580001234567890,058722831908112160,117684.78,Pago factura 1EDBBE71-DE2A-2DDF-EE24-9B726AA12ABD,SPEI
TX00018,2025-02-17,012580001234567890,021890726303659684,16463.18,Pago factura D463C183-A231-7211-8578-B1C6F7EBC69A,SPEI
TX00019,2025-02-17,012580001234567890,002290297721441525,218442.38,Pago factura 892FCA69-8E20-17E1-50C4-CB4BAD9E5C1E,SPEI
TX00020,2025-02-17,014133686941179027,012580001234567890,103590.09,Cobro factura 7C2257A0-C75F-F368-5F7D-DBB1480AFE9F,SPEI
TX00021,2025-02-17,014646706457108641,012580001234567890,452966.97,Cobro factura EBA46463-36C9-B657-EC9A-799E19437791,SPEI
TX00022,2025-02-17,012580001234567890,127790287445645713,290000.0,Pago factura FA2C9E79-2758-4F1A-239E-5593EC11A44D,SPEI
TX00023,2025-02-18,012580001234567890,021890726303659684,13163.45,Pago factura F6A9E3E3-B62B-CCB1-4956-0C3685609E8A,SPEI
TX00024,2025-02-19,012580001234567890,002290297721441525,77873.58,Pago factura F5C9F459-9DB1-BD5E-91A4-D796B9720EEC,SPEI
TX00025,2025-02-21,012580001234567890,058722831908112160,99403.18,Pago factura 19E9E3A4-18DC-CEB6-84FC-FCB0F5E90352,SPEI
TX00026,2025-02-24,012580001234567890,072035061403237378,73265.48,Pago factura DD1CA267-530D-DDA6-C8D0-F9E5991965EA,SPEI
TX00027,2025-02-24,012580001234567890,002538819687479285,18736.78,Pago factura BAEB286B-F0D0-270F-D4D1-3D551DB6B844,SPEI
TX00028,2025-02-24,012580001234567890,072101837512445132,130293.98,Pago factura 2D8CC973-43C1-136C-D013-B7A3F4A29332,SPEI
TX00029,2025-02-24,127967512170538560,012580001234567890,322533.82,Cobro factura 4FE5C13B-A5E8-C198-3C10-316D3F63A065,SPEI
TX00030,2025-02-24,012580001234567890,127790287445645713,174000.0,Pago factura 4E39F65A-20DB-4294-DFAE-180393D797E7,SPEI
TX00031,2025-02-27,012580001234567890,058722831908112160,98388.65,Pago factura B3EDD6ED-B089-4DE4-E626-7164D3616B3A,SPEI
TX00032,2025-02-27,012580001234567890,072267963609841748,107610.65,Pago factura 1CCEC1EF-16EF-ACDF-9375-EE61EC94503E,SPEI
