emp_id,name,role,bank_clabe,hire_date
EMP:00001,María García,Director General,021002657744287142,2021-08-10
EMP:00002,Diego Zambrano,Gerente de Compras,021593586857022021,2024-12-19
EMP:00003,Héctor Lozano,Contador,072652429623708840,2021-12-19
EMP:00004,Óscar Zambrano,Jefe de Almacén,127583295001674039,2022-04-03
EMP:00005,Emilio Villarreal,Supervisor de Producción,014449825198266175,2017-08-01
EMP:00006,Emilio García,Supervisor de Producción,002250789516915699,2023-03-16
EMP:00007,Diego Salinas,Ventas,072220629802621954,2016-04-20
EMP:00008,Daniela Sada,Ventas,127904382144229485,2015-03-22
EMP:00009,Ana Quintanilla,Operador,002103972677641207,2018-07-04
EMP:00010,Ana Zambrano,Operador,058156218256455927,2015-07-19
EMP:00011,Sofía Villarreal,Operador,072990229883187696,2015-03-25
EMP:00012,Rodrigo Quintanilla,Operador,012726249804207627,2019-03-06
EMP:00013,Regina Sada,Operador,012403990366358979,2023-04-01
EMP:00014,Sofía Garza,Operador,127827188284372013,2015-03-09
EMP:00015,Luis Villarreal,Administrativo,014053749181045869,2019-04-28
EMP:00016,Diego Montemayor,Administrativo,072344214969635024,2023-08-23
