po_id,vendor_rfc,date,amount,requester,approver,description
PO00001,CRH230311CX7,2025-02-20,178584.78,Héctor Lozano,Diego Zambrano,Servicios de limpieza
PO00002,BGD030823RBW,2025-02-18,60610.58,Emilio García,Diego Zambrano,Lámina de acero cal. 14
PO00003,LJA880717NNC,2025-06-27,22573.48,Óscar Zambrano,Diego Zambrano,Rodamientos SKF
PO00004,BGD030823RBW,2025-11-04,225049.05,Héctor Lozano,Diego Zambrano,Placa de acero A36
PO00005,HQP910421HXF,2025-09-05,111464.4,Héctor Lozano,Diego Zambrano,Consultoría de procesos
PO00006,LPK240212P77,2025-11-19,17389.73,Ana Quintanilla,Diego Zambrano,Flete local — carta porte anexa
PO00007,FBY870108HAF,2025-10-17,208083.58,Luis Villarreal,Diego Zambrano,Flete foráneo
PO00008,HQP910421HXF,2025-11-16,42363.08,Sofía Garza,Diego Zambrano,Capacitación
PO00009,WGM241113MRL,2025-07-29,54146.25,Óscar Zambrano,Diego Zambrano,Brocas HSS
PO00010,FBY870108HAF,2025-11-15,152412.28,Sofía Villarreal,Diego Zambrano,Flete local
PO00012,SZC9707063JK,2025-04-01,21978.36,Emilio García,Diego Zambrano,Electrodos 6013
PO00013,OSD160228AKR,2025-03-20,198450.25,Ana Zambrano,Diego Zambrano,Perfil PTR 2x2
PO00014,DBY200622EMX,2025-09-11,21866.58,Ana Quintanilla,Diego Zambrano,Perfil PTR 2x2
PO00015,WWH110626S3K,2025-12-08,22921.6,Emilio García,Diego Zambrano,Tubo estructural
PO00016,PMN121218LZJ,2025-03-04,73616.38,Emilio García,Diego Zambrano,Lámina de acero cal. 14
PO00017,FBY870108HAF,2025-04-27,167144.98,Emilio Villarreal,Diego Zambrano,Maniobras de carga
PO00018,YMF930303K2S,2025-09-30,10344.65,Ana Zambrano,Diego Zambrano,Electrodos 6013
PO00019,DFP890325WQU,2025-02-06,19824.28,Regina Sada,Diego Zambrano,Renta de nave industrial
PO00020,WWH110626S3K,2025-11-03,23745.08,Sofía Villarreal,Diego Zambrano,Placa de acero A36
PO00021,LJA880717NNC,2025-08-27,49775.48,Sofía Garza,Diego Zambrano,Rodamientos SKF
PO00022,WWH110626S3K,2025-10-03,18316.28,Luis Villarreal,Diego Zambrano,Lámina de acero cal. 14
PO00023,DFP890325WQU,2025-09-14,29150.68,Daniela Sada,Diego Zambrano,Renta de montacargas
PO00024,CRH230311CX7,2025-01-30,160938.4,Héctor Lozano,Diego Zambrano,Servicios de limpieza
PO00025,FQZ88060892H,2025-11-29,52084.58,Héctor Lozano,Diego Zambrano,Barra redonda 1018
PO00026,OSD160228AKR,2025-03-28,218785.05,Rodrigo Quintanilla,Diego Zambrano,Barra redonda 1018
PO00027,WGM241113MRL,2025-11-17,34147.85,Luis Villarreal,Diego Zambrano,Discos de corte
PO00028,IXC940413YZC,2025-06-06,34208.28,Daniela Sada,Diego Zambrano,Electrodos 6013
PO00029,ZLV900812OLD,2025-07-19,59404.18,Sofía Garza,Diego Zambrano,Electrodos 6013
PO00030,IXC940413YZC,2025-03-19,49639.18,Rodrigo Quintanilla,Diego Zambrano,Electrodos 6013
PO00031,ZLV900812OLD,2025-08-02,243852.65,Ana Quintanilla,Diego Zambrano,Discos de corte
PO00032,BGD030823RBW,2025-03-22,169501.98,Regina Sada,Diego Zambrano,Lámina de acero cal. 14
PO00034,SJP030817VDZ,2025-02-28,45959.08,Rodrigo Quintanilla,Diego Zambrano,Solvente industrial
PO00035,WWH110626S3K,2025-11-23,11762.28,Daniela Sada,Diego Zambrano,Lámina de acero cal. 14
PO00036,UWP921026BTX,2025-04-02,11539.45,Diego Salinas,Diego Zambrano,Motor eléctrico 5HP
PO00037,FNI920522YRY,2024-12-30,77873.58,Sofía Villarreal,Diego Zambrano,Sellos hidráulicos
PO00038,LAI101206479,2025-02-13,56703.58,Daniela Sada,Diego Zambrano,Guantes de carnaza
PO00039,ILK110504O8G,2025-12-06,120074.38,Rodrigo Quintanilla,Diego Zambrano,Perfil PTR 2x2
PO00040,DBY200622EMX,2025-09-09,9836.68,Diego Salinas,Diego Zambrano,Barra redonda 1018
PO00041,YNB000215EQT,2025-04-09,8711.48,Ana Quintanilla,Diego Zambrano,Lámina de acero cal. 14
PO00042,UWP921026BTX,2025-11-20,14351.98,Luis Villarreal,Diego Zambrano,Bandas industriales
