txn_id,fecha,account_clabe,direction,amount,counterparty_name,counterparty_clabe,reference,invoice_uuid
TX00001,2025-01-20,012580001234567890,out,15521.38,Pinturas Nuevo León SAPI de CV,012160981720592104,PAGO FACT 34828,2AC83CA9-9566-1EF9-9101-28FD44D958C4
TX00002,2025-01-24,012580001234567890,out,4037.38,Ferretera Guadalupe S de RL de CV,127324165067166270,PAGO FACT 36803,2FB00D4B-9273-81B8-85A1-C2032EBE3982
TX00003,2025-01-27,012580001234567890,out,37616.25,Hidráulica Industrial S de RL de CV,127386469123872667,PAGO FACT 54571,558DBD62-B115-326C-182F-5E16A8055780
TX00004,2025-01-27,012580001234567890,out,40623.08,Empaques del Norte SAPI de CV,012879792992388684,PAGO FACT 54776,7A222691-49E7-E75C-D770-528B44B23930
TX00005,2025-01-28,012580001234567890,out,195077.08,Maquinados Monterrey SA de CV,127384404675485014,PAGO FACT 94791,A42D3646-8B59-FF3C-558F-3B9E414E241A
TX00006,2025-01-28,012580001234567890,out,436393.74,NOMINA,,NOMINA QUINCENAL,
TX00007,2025-01-31,012580001234567890,out,108599.08,Grupo San Nicolás SA de CV,072421599192930338,PAGO FACT 96525,15D01CE8-51FD-C969-CB9E-43AEB4E86935
TX00008,2025-01-31,012580001234567890,out,5498.4,Electrónica del Norte S de RL de CV,002483414530651729,PAGO FACT 33722,5E5716D5-ACA8-2AB4-AC7E-36C99BA74342
TX00009,2025-02-03,012580001234567890,out,121486.8,Soldadura Regiomontana S de RL de CV,014236469579938608,PAGO FACT 12870,953AFBAD-426D-DD90-84C0-48F98DA70733
TX00010,2025-02-04,012580001234567890,out,10103.6,Servicios Santa Catarina SAPI de CV,014668274076341822,PAGO FACT 61885,A3D76CE1-0C3D-6B3D-CDD7-906E526AF3B6
TX00011,2025-02-04,012580001234567890,out,60204.0,Transportes Industrial S de RL de CV,002688321571923556,PAGO FACT 7907,77FED1B8-547F-6E4B-6F1F-711BBA89BD68
TX00012,2025-02-07,012580001234567890,out,33277.85,Distribuidora del Norte S de RL de CV,002472607214501356,PAGO FACT 51328,2B44F68C-3CE4-30D6-BC7E-C9A12D3E850C
TX00013,2025-02-07,012580001234567890,out,23246.98,Hidráulica Nuevo León SAPI de CV,072226692183133098,PAGO FACT 57478,37858087-41FC-F9B1-9165-FA8B23BBEACA
TX00014,2025-02-07,012580001234567890,in,330232.38,Envases Martínez SAPI de CV,002165784032068959,COBRO F1530,F8A6980A-79B7-6035-B7CA-BDA01A17ACC5
TX00015,2025-02-10,012580001234567890,out,29580.58,Metálica del Norte S de RL de CV,058200277445686909,PAGO FACT 94625,E9EEC7F7-6E0E-13B2-B228-C91867C5798E
TX00016,2025-02-11,012580001234567890,out,66885.48,Suministros Guadalupe SA de CV,014029234930934222,PAGO FACT 14613,347D5E3B-BE44-76F8-CCCC-E22E77EDF7AB
TX00017,2025-02-11,012580001234567890,out,232000.0,Neumática Santa Catarina SAPI de CV,072132317899810452,PAGO FACT 26948,F892DA4F-EC15-D1B3-9EDA-5F9A79ACC269
TX00018,2025-02-13,012580001234567890,out,70621.38,Suministros Guadalupe SA de CV,014029234930934222,PAGO FACT 47585,B8E07E44-170E-5617-5F72-1C8957366B27
TX00019,2025-02-13,012580001234567890,out,15799.78,Neumática Industrial S de RL de CV,014094397139929975,PAGO FACT 74471,C97A561D-848D-0F57-6D84-BF83FBA130E2
TX00020,2025-02-13,012580001234567890,out,93171.08,Metálica del Norte SA de CV,021506465287976271,PAGO FACT 78438,AADA85C4-1951-CA9A-8F3E-26A1CD874639
TX00021,2025-02-14,012580001234567890,out,42453.45,Hidráulica Industrial S de RL de CV,127386469123872667,PAGO FACT 96872,695AC14D-814A-9763-5C41-5CC51004ABD7
TX00022,2025-02-14,012580001234567890,out,13780.8,Empaques Apodaca SAPI de CV,002474730284776127,PAGO FACT 22789,E777BAF1-6AA6-7B09-3CA4-15DFC9FF6F26
TX00023,2025-02-14,012580001234567890,in,415412.96,Autopartes Guerra S de RL de CV,127517327060243067,COBRO F1551,3C618418-0A99-EC54-E5DB-606406E88EBA
TX00024,2025-02-17,012580001234567890,out,7876.28,Suministros Guadalupe SA de CV,021123240892337489,PAGO FACT 5203,FE5909FC-4FF6-DEDC-14BE-E0E34AF32657
TX00025,2025-02-17,012580001234567890,out,11913.08,Suministros Guadalupe SA de CV,021123240892337489,PAGO FACT 11886,1C7A3742-07E8-9EC0-E225-0462CE918AB9
TX00026,2025-02-17,012580001234567890,out,205851.05,Ferretera Santa Catarina SAPI de CV,002250282122493440,PAGO FACT 83819,06B50424-D48B-15E9-785D-0E2B519DBC3A
TX00027,2025-02-17,012580001234567890,out,24870.98,Industrias Monterrey SA de CV,127977369937116844,PAGO FACT 62696,B8DA1CBC-9DF3-FBCA-941F-62AE1F0ED31B
TX00028,2025-02-17,012580001234567890,in,331079.56,Autopartes Quintanilla S de RL de CV,058757871356683026,COBRO F1523,42E3DCD7-9648-3613-589D-77B741599733
TX00029,2025-02-17,012580001234567890,in,395599.51,Grupo Quintanilla S de RL de CV,002182904309259848,COBRO F1609,F62359FA-6445-4E1A-F0B9-E1291DD6B5A6
