customer_id,name,rfc,street,city,clabe
C00001,Grupo Quintanilla S de RL de CV,CSM870728H9S,Calle Zaragoza 4487,"Santa Catarina, NL",002182904309259848
C00002,Envases Martínez SAPI de CV,DXF1705184RD,Av. Garza Sada 769,"General Escobedo, NL",002165784032068959
C00003,Autopartes Chapa SAPI de CV,KIP8808101ID,Av. Sendero 3913,"Apodaca, NL",012310495801939556
C00004,Autopartes Quintanilla S de RL de CV,XVS9502132UY,Av. Lincoln 3163,"San Pedro Garza García, NL",058757871356683026
C00005,Construcciones Martínez SAPI de CV,LED040311C11,Blvd. Díaz Ordaz 3726,"Santa Catarina, NL",014253106164147843
C00006,Autopartes Guerra SAPI de CV,AVL190904X3P,Av. Constitución 2307,"San Nicolás de los Garza, NL",014549124270731279
C00007,Grupo Chapa S de RL de CV,TIV9003196BV,Av. Garza Sada 2608,"Apodaca, NL",014739042136620358
C00008,Envases Hernández SAPI de CV,QBN900325RYY,Av. Universidad 1682,"San Pedro Garza García, NL",014014253995604307
C00009,Envases Guerra S de RL de CV,OXQ101018OOO,Av. Universidad 1444,"Apodaca, NL",058515658918503468
C00010,Envases Martínez S de RL de CV,MFN980928Z69,Blvd. Díaz Ordaz 1526,"Apodaca, NL",002217464047935534
C00011,Envases Guerra SA de CV,AKL141216HQE,Blvd. Díaz Ordaz 1461,"San Nicolás de los Garza, NL",014505049211308442
C00012,Envases Chapa S de RL de CV,AVW130220VAM,Calle Zaragoza 1832,"General Escobedo, NL",012875403062539993
C00013,Construcciones Zambrano S de RL de CV,DDQ850214LFM,Av. Constitución 3914,"General Escobedo, NL",014145966227698145
C00014,Construcciones Sada S de RL de CV,YRB930321HU5,Calle Zaragoza 4737,"Monterrey, NL",021463705344844011
C00015,Autopartes Guerra S de RL de CV,IOL031203VT4,Av. Universidad 1430,"Santa Catarina, NL",127517327060243067
C00016,Envases Elizondo SA de CV,SVP160304LM6,Av. Universidad 3975,"Santa Catarina, NL",021993856670975642
C00017,Envases Quintanilla S de RL de CV,NBX010517L3O,Av. Garza Sada 217,"General Escobedo, NL",002812787046782749
C00018,Grupo Martínez SA de CV,RSR9508062P4,Av. Ruiz Cortines 3619,"Monterrey, NL",014913695353861809
